"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.908441917E0,3.665556343E0,-9.620627981E0,6.293358207E-3,1.029528172E1
1.918453917E0,3.562724285E0,-9.819133351E0,4.900759014E-1,1.045698611E1
1.928464917E0,2.901182000E0,-8.900287850E0,6.039577353E-1,9.380658066E0
1.938476917E0,1.973342312E0,-7.335827295E0,4.639368010E-1,7.610760760E0
1.948487917E0,1.456829541E0,-5.552926458E0,3.077563553E-1,5.749091975E0
1.958499917E0,1.134710523E0,-3.631067711E0,2.434377140E-1,3.812018181E0
1.968510917E0,6.951351231E-1,-1.559578714E0,2.778146642E-1,1.729936297E0
1.978522917E0,2.360338233E-1,5.473935252E-1,2.582696150E-1,6.496574723E-1
1.988533917E0,1.969665290E-1,2.697931030E0,3.547505736E-1,2.728273378E0
1.998545917E0,3.838776013E-1,4.894854496E0,5.504136121E-1,4.940639401E0
2.008556917E0,5.978878869E-1,6.910973868E0,5.764079940E-1,6.960695074E0
2.018568917E0,5.264483602E-1,8.525859057E0,5.688779132E-1,8.561018783E0
2.028579917E0,4.010571595E-1,9.571555808E0,5.262429768E-1,9.594397277E0
2.038591917E0,7.458620578E-2,1.014034430E1,4.344118702E-1,1.014991917E1
2.048602917E0,1.036647016E-1,1.048295254E1,7.813540721E-1,1.051254272E1
2.058614917E0,8.959537248E-1,1.115665820E1,1.952194687E0,1.136155005E1
2.068625917E0,1.762370678E0,1.160249904E1,2.985432776E0,1.210936593E1
2.078637917E0,2.480531259E0,1.201176788E1,3.552355417E0,1.276929254E1
2.088648917E0,2.837320757E0,1.237826201E1,4.244527756E0,1.338983851E1
2.098660917E0,2.914562184E0,1.293911173E1,4.754201478E0,1.408963153E1
2.108671917E0,2.447794161E0,1.339797782E1,5.114925567E0,1.454853840E1
2.118682917E0,1.371458876E0,1.319849655E1,5.368893532E0,1.431454605E1
2.128694917E0,4.076554500E-1,1.274459124E1,5.522858906E0,1.389578207E1
2.138705917E0,-2.943679856E-1,1.196599237E1,4.600188156E0,1.282315706E1
2.148717917E0,-8.983714753E-1,1.125364363E1,3.685101246E0,1.187566998E1
2.158728917E0,-1.421996215E0,1.082695944E1,2.991177081E0,1.132220227E1
2.168740917E0,-1.886825009E0,1.061129074E1,2.526774842E0,1.106996797E1
2.178751917E0,-2.313399856E0,1.010238651E1,1.637405155E0,1.049243193E1
