"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.597282125E0,1.578466683E0,-3.502750563E0,5.599378493E-1,3.882569893E0
2.607237125E0,1.381305588E0,-2.572694780E0,1.389624714E0,3.233855347E0
2.617192125E0,1.577546039E0,-9.764259571E-1,1.913367713E0,2.665151996E0
2.627147125E0,1.814305940E0,7.065085423E-1,1.662828556E0,2.560441206E0
2.637102125E0,1.737264196E0,2.020094894E0,8.904819734E-1,2.809239828E0
2.647057125E0,1.406436043E0,3.101347395E0,-3.316643044E-2,3.405512886E0
2.657011125E0,8.467746942E-1,4.071928475E0,-7.885601807E-1,4.233137849E0
2.666966125E0,1.116674202E-1,4.836814449E0,-1.187749593E0,4.981766024E0
2.676921125E0,-4.642554011E-1,5.406126847E0,-1.521699136E0,5.635362350E0
2.686876125E0,-7.898241294E-1,5.871841201E0,-1.901128614E0,6.222268980E0
2.696831125E0,-1.005158444E0,6.266461015E0,-2.328276050E0,6.760158764E0
2.706786125E0,-1.448363503E0,6.467188911E0,-2.835728853E0,7.208581510E0
2.716741125E0,-2.079959711E0,6.581691427E0,-3.410621248E0,7.699170848E0
2.726696125E0,-2.448944601E0,7.047322167E0,-3.548324639E0,8.261518451E0
2.736651125E0,-2.692642808E0,6.898551459E0,-3.090121618E0,8.024287453E0
2.746606125E0,-2.974591161E0,6.018315707E0,-2.946760461E0,7.331556025E0
2.756561125E0,-3.487315668E0,5.044920947E0,-2.838876994E0,6.758092964E0
2.766516125E0,-4.158203265E0,3.620307664E0,-2.619783870E0,6.104141995E0
2.776471125E0,-4.707754705E0,2.632766150E0,-2.518023899E0,5.952718397E0
2.786426125E0,-5.094510013E0,2.211212307E0,-2.301975127E0,6.011870061E0
2.796381125E0,-5.110039049E0,1.944552961E0,-1.604483576E0,5.698083261E0
2.806336125E0,-5.080027045E0,1.665117449E0,1.098972487E-1,5.347089704E0
2.816290125E0,-5.386218247E0,9.981992340E-1,3.682375566E0,6.600578651E0
2.826245125E0,-4.775289169E0,8.041722465E-1,4.038920943E0,6.305787978E0
2.836200125E0,-3.686160469E0,1.085356661E0,3.233978033E0,5.022389073E0
2.846155125E0,-3.150624804E0,1.138598483E0,2.701841355E0,4.303811087E0
2.856109917E0,-2.701736690E0,1.004882017E0,2.243807903E0,3.652922517E0
2.866064917E0,-2.224611202E0,8.267752433E-1,1.673218181E0,2.903809805E0
2.876019917E0,-2.018253021E0,3.586559290E-1,5.793178609E-1,2.130161618E0
2.885974917E0,-1.920023160E0,-4.462273389E-1,-8.618714011E-1,2.151378648E0
2.895929917E0,-1.529844161E0,-1.706630926E0,-2.177467149E0,3.161388217E0
2.905884917E0,-6.664855206E-1,-3.098008050E0,-2.968930472E0,4.342396225E0
2.915839917E0,7.461935949E-1,-4.523473856E0,-2.844094172E0,5.395135982E0
2.925794917E0,2.163062533E0,-6.129403449E0,-2.749678888E0,7.057560496E0
2.935749917E0,3.071197397E0,-7.635978908E0,-3.303622757E0,8.868728807E0
2.945704917E0,3.187510210E0,-8.639511387E0,-3.912116470E0,1.000530028E1
2.955659917E0,1.604691153E0,-8.250834684E0,-3.532647961E0,9.117615274E0
2.965613917E0,1.117744242E-1,-7.017147025E0,-2.809570749E0,7.559532637E0
2.975568917E0,-4.245584348E-1,-6.689822817E0,-2.137696434E0,7.035888375E0
2.985523917E0,-6.485557647E-1,-7.238861749E0,-1.480210656E0,7.417059227E0
2.995478917E0,-6.400663385E-1,-8.024168538E0,-9.651203656E-1,8.107306764E0
3.005433917E0,-2.920807010E-1,-8.589662704E0,-8.187657273E-1,8.633538894E0
3.015388917E0,4.412703618E-1,-8.417449340E0,-1.038059703E0,8.492687494E0
3.025343917E0,1.210698818E0,-7.616136382E0,-1.708232478E0,7.898695032E0
3.035298917E0,1.446491809E0,-6.920882560E0,-2.417247429E0,7.472217817E0
3.045253917E0,1.241786929E0,-6.389299321E0,-2.530993315E0,6.983631416E0
3.055208917E0,9.740956955E-1,-5.881184467E0,-2.318868903E0,6.396432298E0
3.065163917E0,8.325102655E-1,-5.533823020E0,-2.192733059E0,6.010353469E0
3.075118917E0,8.231179561E-1,-5.316676726E0,-2.024565968E0,5.748342538E0
3.085073917E0,8.217357474E-1,-5.046532440E0,-1.770789499E0,5.410955068E0
3.095028917E0,7.259701225E-1,-4.573052398E0,-1.533188184E0,4.877551318E0
3.104983917E0,5.101463961E-1,-3.844551893E0,-1.321170191E0,4.097111089E0
3.114938917E0,2.013939676E-1,-2.884549595E0,-1.110403794E0,3.097447737E0
3.124892917E0,-1.383650760E-1,-1.733094254E0,-9.100194213E-1,1.962369979E0
3.134847917E0,-4.336964634E-1,-4.684450042E-1,-7.254826109E-1,9.663634736E-1
3.144802917E0,-6.965375047E-1,8.426194435E-1,-5.506929629E-1,1.224105699E0
3.154757917E0,-9.359678295E-1,2.137599955E0,-3.723294966E-1,2.363048582E0
